Model / baseline,Average player num,Mean score,Std.,Min,Max,95% bootstrap CI
Claude Opus 4,5,17.25,9.074537025227361,10.833333333333332,23.666666666666668,"[10.83, 23.67]"
DeepSeek V3.2,4.833333333333333,8.666666666666666,2.8042626283729004,5.666666666666667,13.916666666666666,"[6.97, 10.99]"
Doubao Seed 2.0 Lite,5,9.958333333333334,3.1699544336017054,6.916666666666667,14.416666666666666,"[7.52, 13.10]"
Doubao Seed 2.0 Pro,4.857142857142857,11.5,5.062266607941203,3.8333333333333335,18.333333333333332,"[8.55, 14.44]"
Gemini 3 Flash Preview,4.875,23.856060606060606,10.210295111436606,8.333333333333332,39.333333333333336,"[18.20, 29.28]"
GLM-4.7,4.6,6.854166666666667,3.2209476817008325,3.5833333333333335,14.0,"[4.97, 9.26]"
GPT-4o Mini,4.333333333333333,7.0833076923076925,2.1494766867927475,4.0,12.75,"[6.04, 8.42]"
GPT-5,4.714285714285714,15.096153846153847,7.230725188536538,4.833333333333333,27.083333333333336,"[11.42, 18.99]"
Human,7,47.92857142857143,16.58759631918837,20.0,80.0,"[40.07, 56.29]"
o3 Mini,4.5,5.7044848484848485,3.5494458264280464,2.3333333333333335,12.833,"[3.80, 7.76]"
Qwen Plus,4.428571428571429,7.211461538461538,2.8335886046393326,2.8333333333333335,12.833,"[5.74, 8.69]"
Rule Fair Trade,4.133333333333334,7.242283950617284,1.8609461789513124,3.0,11.416666666666668,"[6.76, 7.73]"
