Model / baseline,Model id,Completed games,Player seats,Mean score,Median,Std.,Min,Max,95% bootstrap CI
Claude Opus 4,claude-opus-4,2,2,17.25,17.25,9.074537025227361,10.833333333333332,23.666666666666668,"[10.83, 23.67]"
DeepSeek V3.2,deepseek-v3.2,4,4,8.666666666666666,7.541666666666666,3.6100425769521616,5.666666666666667,13.916666666666666,"[6.15, 12.31]"
Doubao Seed 2.0 Lite,doubao-seed-2.0-lite,1,1,9.333333333333334,9.333333333333334,0.0,9.333333333333334,9.333333333333334,"[9.33, 9.33]"
Doubao Seed 2.0 Pro,doubao-seed-2.0-pro,4,7,11.178571428571429,10.416666666666668,5.391056674112418,3.8333333333333335,18.333333333333332,"[7.55, 15.26]"
Gemini 3 Flash Preview,gemini-3-flash-preview,5,8,22.15625,22.083333333333336,11.498226010515227,8.333333333333332,39.333333333333336,"[14.70, 29.61]"
GLM-4.7,glm-4.7,5,8,6.854166666666667,6.458333333333333,3.2209476817008325,3.5833333333333335,14.0,"[4.97, 9.26]"
GPT-4o Mini,gpt-4o-mini,6,13,7.0833076923076925,6.333,2.1494766867927475,4.0,12.75,"[6.04, 8.42]"
GPT-5,gpt-5,4,10,11.741666666666667,10.875,3.9190201754778538,4.833333333333333,18.75,"[9.67, 13.80]"
Human,human,2,14,47.92857142857143,46.0,16.58759631918837,20.0,80.0,"[40.07, 56.29]"
o3 Mini,o3-mini,6,9,6.138814814814815,6.25,3.8164586337449564,2.3333333333333335,12.833,"[4.04, 8.72]"
Qwen Plus,qwen-plus,5,11,7.333242424242425,6.75,2.9600703861410276,2.8333333333333335,12.833,"[5.77, 9.01]"
Rule Fair Trade,rule-fair,14,56,7.1875,7.791666666666666,1.7837828660269481,3.0,9.416666666666666,"[6.70, 7.63]"
